Unit,d_size,d_number,type,l1,l2,l3,l4
U1,S,1,Resistor,10R,22R,33R,47R
U1,S,2,Resistor,100R,150R,200R,220R
U1,S,3,Resistor,100K,150K,180K,220K
U1,S,4,Resistor,300K,330K,360K,390K
U1,S,5,Resistor,392K,470K,510K,680K
U1,S,6,Resistor,10K,12K,15K,20K
U1,S,7,Resistor,22K,27K,33K,39K
U1,S,8,Resistor,47K,51K,56K,68K
U1,S,9,Resistor,91K,,,
U1,S,10,Resistor,1K,2K,2.2K,2.7K
U1,S,11,Resistor,3K,3.3K,3.9K,4K
U1,S,12,Resistor,4.7K,5K,5.1K,5.6K
U1,S,13,Resistor,6K,6.8K,8K,
U1,S,14,Resistor,1M,2M,2.2M,3M
U1,S,15,Resistor,4M,4.7M,,
U1,S,16,Resistor,270R,330R,470R,510R
U1,S,17,Ceramic Cap,47pF,50pF,51pF,100pF
U1,S,18,Ceramic Cap,120pF,150pF,220pF,390pF
U1,S,19,Ceramic Cap,470pF,1nF,2.2nF,3.3nF
U1,S,20,Ceramic Cap,4.7nF,6.8nF,8.2nF,10nF
U1,S,21,Ceramic Cap,15nF,22nF,33nF,47nF
U1,S,22,Ceramic Cap,68nF,100nF,220nF,470nF
U1,S,23,Film Cap,1nF,2nF,3nF,4nF
U1,S,24,Film Cap,6nF,10nF,22nF,33nF
U1,S,25,Film Cap,47nF,100nF,220nF,470nF
U1,S,27,Electrolytic Cap,1uF,2.2uF,4.7uF,10uF
U1,S,28,Electrolytic Cap,22uF,47uF,100uF,220uF
U1,S,29,Electrolytic Cap,470uF,,,
U1,S,31,Diode,12VZD,1N270G,1N34AG,1N4001
U1,S,32,Diode,1N4005,1N4007,1N4148,1N4738ZD
U1,S,33,Diode,1N4739ZD,1N4742ZD,1N56AG,1N5817
U1,S,34,Diode,1N914,1S1588,8V2ZD,9V1ZD
U1,S,35,Diode,BAT41,BAT42,BAT46,BAT48
U1,S,36,Diode,R8,1N5819,,
U1,S,37,NPN Transistor,2N2222,2N3904,2N4123,2N5088
U1,S,38,NPN Transistor,2N5089,2SC1815,BC109C,BC548
U1,S,39,NPN Transistor,BC549C,BC549,BC550C,MPSA18
U1,S,41,PNP Transistor,2N3906,2N4125,2N4402,2N5087
U1,S,43,JFET,2N5457,2N5458,2N5485,J201
U1,S,44,JFET,MPF4393,,,
U1,S,45,MOSFET,2N7000,BS170,,
U2,M,1,IC,24LC32A,CD4049UBE,FV-1,JRC4558
U2,M,2,IC,JRC4580,L78L05,L78L33,LF353N
U2,M,3,IC,LM308,LM3080,LM358,LM386
U2,M,4,IC,LM741,LM833,LT1054,MC1458
U2,M,5,IC,MN3007,MN3101,MN3102,MN3207
U2,M,6,IC,NE5532,OPA2134,PT2399,RC4558P
U2,M,7,IC,TC1044,TL022,TL071,TL072
U2,M,8,IC,TL074,V3102D,V3207D,
U2,M,9,IC Socket,8-pin,14-pin,16-pin,
U2,M,10,Footswitch,Std,Lo-Pro,,
U2,M,11,Trimmer,500,1K,5K,10K
U2,M,12,Trimmer,20K,50K,100K,250K
U2,M,13,Trimmer,500K,1M,,
U2,M,14,A-Taper Pot,10K,50K,100K,250K
U2,M,15,A-Taper Pot,500K,1M,,
U2,M,16,B-Taper Pot,1K,5K,10K,25K
U2,T,1,B-Taper Pot,50K,100K,250K,500K
U2,T,2,B-Taper Pot,1M,10K,100K,250K
U2,T,3,C-Taper Pot,500K,20K,50K,100K
U1,S,47,3mm LED,R,G,B,O
U1,S,48,5mm LED,R,G,B,O
U1,S,49,LED Bezel,3mm,5mm,Spacers,
U1,S,51,Jack,Mono,Stereo,,
U1,S,52,DC Jack,2.1PNL,2.5PNL,2.1PCB,2.5PCB
U1,S,53,3PDT Switch,On-Off-On,On-On,,
U1,S,54,2PDT Switch,On-Off-On,On-On,,
U1,S,55,Heat Shrink,"3/32""",,,
U1,S,56,Heat Shrink,1/8”,,,
U1,S,57,Heat Shrink,"3/16""",,,
U1,S,58,Heat Shrink,"1/4""",,,
U1,S,59,Heat Shrink,"3/8""","1/2""",,
U1,S,60,Heat Shrink,"3/4""",,,
U2,L,1,PCB,,,,
U2,L,2,Enclosure,,,,
